RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
2022-06-21;MBLY3;MBLY;MBLY;CASH;EQUITY-CASH;SHARES;;;2021-02-05;9999-12-31;;;;;BRMBLYACNOR5;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;ON      NM;Mobly S.A.                    ;9999-12-31;FUNGIBLE;106489904;NOVO MERCADO
2022-06-21;MCRJ11B;MCRJ;MCRJ;CASH;EQUITY-CASH;SHARES;;;2012-10-23;9999-12-31;;;;;BRMCRJCPA003;EMXXXX;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;1;;;;CPA     MB;MUNIC�PIO DO RIO DE JANEIRO   ;9999-12-31;FUNGIBLE;100000;MERCADO DE BALC�O
2022-06-21;MDIA3;MDIA;MDIA;CASH;EQUITY-CASH;SHARES;;;2022-06-17;9999-12-31;;;;;BRMDIAACNOR7;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;126;1;2;;;;ON  EJ  NM;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;9999-12-31;FUNGIBLE;339000000;NOVO MERCADO
2022-06-21;MDIN3;MDIN;MDIN;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMDINACNOR0;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;ON;MUNDIAL INC;9999-12-31;FUNGIBLE;0;
2022-06-21;MDNE3;MDNE;MDNE;CASH;EQUITY-CASH;SHARES;;;2020-02-13;9999-12-31;;;;;BRMDNEACNOR9;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;ON      NM;MOURA DUBEUX ENGENHARIA S/A   ;9999-12-31;FUNGIBLE;84909375;NOVO MERCADO
2022-06-21;MDSI3;MDSI;MDSI;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMDSIACNOR9;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;ON;MUNDIAL ASIA HONG KONG;9999-12-31;FUNGIBLE;0;
2022-06-21;MEAL3;MEAL;MEAL;CASH;EQUITY-CASH;SHARES;;;2019-04-30;9999-12-31;;;;;BRMEALACNOR9;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;105;1;2;;;;ON      NM;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;9999-12-31;FUNGIBLE;286369530;NOVO MERCADO
2022-06-21;MEGA3;MEGA;MEGA;CASH;EQUITY-CASH;SHARES;;;2021-12-27;9999-12-31;;;;;BRMEGAACNOR9;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;ON      NM;OMEGA ENERGIA S.A.            ;9999-12-31;FUNGIBLE;569598368;NOVO MERCADO
2022-06-21;MELK3;MELK;MELK;CASH;EQUITY-CASH;SHARES;;;2022-05-20;9999-12-31;;;;;BRMELKACNOR8;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;105;1;2;;;;ON      NM;MELNICK DESENVOLVIMENTO IMOBILI�RIO S.A.;9999-12-31;FUNGIBLE;207969341;NOVO MERCADO
2022-06-21;MERC3;MERC;MERC;CASH;EQUITY-CASH;SHARES;;;2020-03-04;9999-12-31;;;;;BRMERCACNOR2;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;171;1;2;;;;ON        ;MERCANTIL BRASIL FINANC S.A. C.F.I.;9999-12-31;FUNGIBLE;10179565;
